iter	Passed	Remaining
0	2	221
1	5	284
2	8	263
3	9	224
4	10	204
5	12	191
6	13	181
7	15	175
8	18	185
9	21	191
10	22	184
11	25	184
12	26	178
13	28	172
14	30	171
15	35	188
16	37	184
17	39	180
18	41	176
19	43	173
20	45	170
21	47	169
22	51	170
23	53	168
24	54	164
25	56	159
26	58	157
27	59	153
28	64	158
29	66	154
30	67	151
31	69	148
32	71	144
33	72	141
34	74	138
35	75	134
36	82	139
37	83	136
38	84	132
39	86	129
40	88	127
41	88	122
42	90	120
43	94	120
44	97	119
45	99	116
46	100	113
47	102	110
48	103	107
49	105	105
50	111	107
51	113	104
52	115	102
53	116	99
54	117	96
55	119	93
56	120	91
57	126	91
58	128	89
59	129	86
60	131	83
61	134	82
62	135	79
63	140	79
64	143	77
65	144	74
66	146	72
67	147	69
68	149	67
69	152	65
70	156	63
71	158	61
72	160	59
73	161	56
74	163	54
75	164	52
76	174	51
77	185	52
78	192	51
79	196	49
80	202	47
81	210	46
82	216	44
83	219	41
84	225	39
85	232	37
86	236	35
87	240	32
88	247	30
89	249	27
90	255	25
91	263	22
92	265	20
93	268	17
94	271	14
95	277	11
96	280	8
97	282	5
98	283	2
99	285	0
